Title,URL,Publication Date,Section,publication_date
Ukraine’s Creative Use of Weapons Carries Promise and Risk,https://www.nytimes.com/2024/02/08/us/politics/ukraine-russia-patriot-missile.html,2024-02-08,U.S.,2024-02-08 14:21:07+00:00
"Ukraine Marks 2nd Anniversary of Russian Invasion, Determined Despite Setbacks",https://www.nytimes.com/2024/02/24/world/europe/ukraine-russia-invasion-anniversary.html,2024-02-24,World,2024-02-24 15:49:11+00:00
"Visiting Ukraine, Schumer Pressures G.O.P. to Take Up Aid Bill",https://www.nytimes.com/2024/02/23/us/politics/schumer-ukraine-aid.html,2024-02-23,U.S.,2024-02-23 07:00:06+00:00
U.S. Campaign to Isolate Russia Shows Limits After 2 Years of War,https://www.nytimes.com/2024/02/22/us/politics/russia-war-anniversary-sanctions.html,2024-02-22,U.S.,2024-02-22 18:40:31+00:00
U.S. Rejects Putin’s Latest Call for Ukraine Negotiations,https://www.nytimes.com/2024/02/09/us/politics/biden-putin-tucker-carlson-peace.html,2024-02-09,U.S.,2024-02-09 21:55:57+00:00
"War in Ukraine Has Weakened Putin, C.I.A. Director Writes",https://www.nytimes.com/2024/01/30/us/politics/cia-burns-putin-russia.html,2024-01-30,U.S.,2024-01-30 17:56:20+00:00
"U.S. Military Aid to Ukraine Was Poorly Tracked, Pentagon Report Says",https://www.nytimes.com/2024/01/11/world/europe/us-military-aid-ukraine.html,2024-01-11,World,2024-01-11 14:38:31+00:00
U.S. Charges 4 Russian Soldiers With War Crimes Against an American,https://www.nytimes.com/2023/12/06/us/russia-ukraine-war-crimes-hamas.html,2023-12-06,U.S.,2023-12-06 17:15:49+00:00
White House Says North Korea Providing Russia With Ballistic Missiles,https://www.nytimes.com/2024/01/04/us/politics/north-korea-russia-missiles.html,2024-01-04,U.S.,2024-01-04 20:46:52+00:00
U.S. and Europe Eye Russian Assets to Aid Ukraine as Funding Dries Up,https://www.nytimes.com/2023/12/21/us/politics/russian-assets-ukraine.html,2023-12-21,U.S.,2023-12-21 17:09:37+00:00
G7 Tightens Enforcement of Oil Price Cap Amid Widespread Russian Evasion,https://www.nytimes.com/2023/12/20/us/politics/oil-russia-ukraine-war.html,2023-12-20,U.S.,2023-12-20 18:31:44+00:00
"Electronic Warfare Confounds Civilian Pilots, Far From Any Battlefield",https://www.nytimes.com/2023/11/21/world/europe/ukraine-israel-gps-jamming-spoofing.html,2023-11-21,World,2023-11-21 05:01:31+00:00
U.S. and Ukraine Search for a New Strategy After Failed Counteroffensive,https://www.nytimes.com/2023/12/11/us/politics/us-ukraine-war-strategy.html,2023-12-11,U.S.,2023-12-11 22:11:01+00:00
Zelensky to Visit Washington With U.S. Aid to Ukraine in Doubt,https://www.nytimes.com/2023/12/10/us/politics/zelensky-washington-biden-congress.html,2023-12-10,U.S.,2023-12-10 22:45:36+00:00
Ukraine Carries On Fight While Pondering an Erosion of U.S. Aid,https://www.nytimes.com/2023/12/07/world/europe/ukraine-us-aid-senate.html,2023-12-07,World,2023-12-07 13:00:23+00:00
"Republicans Block Aid to Ukraine, Jeopardizing Its Fight Against Russia",https://www.nytimes.com/2023/12/06/us/politics/senate-ukraine-aid-bill.html,2023-12-06,U.S.,2023-12-06 20:26:42+00:00
"Despite McConnell Legacy Push, Ukraine Funding in Increasing Jeopardy",https://www.nytimes.com/2023/12/06/us/politics/mcconnell-legacy-ukraine-funding.html,2023-12-07,U.S.,2023-12-07 00:30:41+00:00
Biden Calls on Congress to Approve Aid to Ukraine: ‘This Cannot Wait’,https://www.nytimes.com/2023/12/06/us/politics/biden-ukraine-funding.html,2023-12-06,U.S.,2023-12-06 17:05:22+00:00
The Wars in Ukraine and Gaza Have Changed. America’s Policy Hasn’t.,https://www.nytimes.com/2024/03/01/opinion/ezra-klein-podcast-richard-haass.html,2024-03-01,Opinion,2024-03-01 10:02:55+00:00
Ukrainians in Germany Weigh Wrenching Choice: Stay or Go Home,https://www.nytimes.com/2023/12/03/world/europe/germany-ukraine-refugees.html,2023-12-03,World,2023-12-03 10:02:31+00:00
Waiting for Serhiy,https://www.nytimes.com/2024/02/24/world/europe/russia-ukraine-serhiy.html,2024-02-24,World,2024-02-24 10:04:34+00:00
Hundreds of Ukrainian Troops Feared Captured or Missing in Chaotic Retreat,https://www.nytimes.com/2024/02/20/us/politics/ukraine-prisoners-avdiivka-russia.html,2024-02-20,U.S.,2024-02-20 17:26:27+00:00
